"","date","MSFT","GOOGL","CRM","ADBE","NTNX","index"
"32",2016-11-14,-1.36854698334853,-1.34781874936404,-1.66663423896514,-1.62980082854041,-0.33044369415112,-6.34324449436924
"33",2016-11-15,-1.37706117800802,-1.37340644837724,-1.69607136202494,-1.63740361860857,-0.336719866050877,-6.42066247306964
"34",2016-11-16,-1.36996709373788,-1.34309710706751,-1.67586869743801,-1.62992162021662,0.0440017703057675,-5.97485274815425
"35",2016-11-17,-1.36257795003508,-1.33641629161076,-1.68728964428665,-1.62738367782676,0.0735290010837527,-5.9401385626755
"36",2016-11-18,-1.35318313090348,-1.32783915686568,-1.65685398347731,-1.61691002542908,-0.0678967586022544,-6.0226830552778
"37",2016-11-21,-1.35593704234093,-1.34197493246932,-1.61418201105891,-1.62169672911819,0.244297202803075,-5.68949351218426
"38",2016-11-22,-1.35109291958983,-1.32972769731363,-1.64108671587002,-1.61787998876857,0.152237037467895,-5.78755028407415
"39",2016-11-23,-1.34862155600125,-1.32945004344772,-1.6506297683448,-1.62054608234219,0.103050220580453,-5.84619722955551
"40",2016-11-25,-1.35546231312902,-1.33777525235417,-1.67699879888872,-1.62659775576839,0.194254103229608,-5.8025800169107
"41",2016-11-28,-1.35422790293363,-1.33606954387582,-1.68054469322224,-1.62169672911819,0.182633762063487,-5.80990510708639
"42",2016-11-29,-1.35346807764804,-1.32835296401703,-1.69336329447064,-1.62484385557772,0.123621552800861,-5.87640663891256
"43",2016-11-30,-1.3489067666587,-1.32328169176459,-1.69336329447064,-1.62212054823681,0.1906786815787,-5.79699361955204
"44",2016-12-01,-1.3567913876408,-1.34209966465445,-1.70810725449274,-1.63505220924982,0.00372736105834925,-6.03832315497946
