"","date","TDOC"
"342","2016/11/03",15.75
"343","2016/11/04",15.80000019
"344","2016/11/07",16.89999962
"345","2016/11/08",17.04999924
"346","2016/11/09",17.10000038
"347","2016/11/10",17.70000076
"348","2016/11/11",17.89999962
"349","2016/11/14",16.95000076
"350","2016/11/15",16.95000076
"351","2016/11/16",17.10000038
"352","2016/11/17",17.45000076
"353","2016/11/18",17.39999962
"354","2016/11/21",17.70000076
"355","2016/11/22",17.85000038
"356","2016/11/23",18.29999924
"357","2016/11/25",18.14999962
"358","2016/11/28",17.95000076
"359","2016/11/29",18.10000038
"360","2016/11/30",18.35000038
"361","2016/12/01",18.14999962
"362","2016/12/02",17.95000076
"363","2016/12/05",18.45000076
"364","2016/12/06",19
"365","2016/12/07",18.79999924
"366","2016/12/08",18.5
"367","2016/12/09",17.70000076
"368","2016/12/12",17.04999924
"369","2016/12/13",16.20000076
"370","2016/12/14",16.85000038
"371","2016/12/15",16.79999924
"372","2016/12/16",16.85000038
"373","2016/12/19",16.39999962
"374","2016/12/20",16.35000038
"375","2016/12/21",16.60000038
"376","2016/12/22",16.75
"377","2016/12/23",16.85000038
"378","2016/12/27",16.75
"379","2016/12/28",16.54999924
"380","2016/12/29",16.64999962
"381","2016/12/30",16.5
"382","2017/01/03",16.5
"383","2017/01/04",16.5
"384","2017/01/05",16.39999962
"385","2017/01/06",16.54999924
"386","2017/01/09",17.39999962
"387","2017/01/10",18.04999924
"388","2017/01/11",18.20000076
"389","2017/01/12",17.89999962
"390","2017/01/13",18.35000038
"391","2017/01/17",17.39999962
"392","2017/01/18",17
"393","2017/01/19",18.39999962
"394","2017/01/20",18.64999962
"395","2017/01/23",18.75
"396","2017/01/24",18.89999962
"397","2017/01/25",18.95000076
"398","2017/01/26",19.54999924
"399","2017/01/27",20.54999924
"400","2017/01/30",20.70000076
"401","2017/01/31",20
"402","2017/02/01",19.70000076
"403","2017/02/02",20.29999924
"404","2017/02/03",20.45000076
"405","2017/02/06",20.20000076
"406","2017/02/07",20.5
"407","2017/02/08",21.39999962
"408","2017/02/09",21.25
"409","2017/02/10",21.70000076
"410","2017/02/13",21.39999962
"411","2017/02/14",21.25
"412","2017/02/15",20.89999962
"413","2017/02/16",21.04999924
"414","2017/02/17",20.75
"415","2017/02/21",20.79999924
"416","2017/02/22",20.75
"417","2017/02/23",20.85000038
"418","2017/02/24",21.14999962
"419","2017/02/27",21.85000038
"420","2017/02/28",22.04999924
"421","2017/03/01",22.45000076
"422","2017/03/02",23.54999924
"423","2017/03/03",22.29999924
"424","2017/03/06",21
"425","2017/03/07",20
"426","2017/03/08",19.79999924
"427","2017/03/09",19.85000038
"428","2017/03/10",21
"429","2017/03/13",21.14999962
"430","2017/03/14",20.95000076
"431","2017/03/15",22.10000038
"432","2017/03/16",22.25
"433","2017/03/17",23.45000076
"434","2017/03/20",23.29999924
"435","2017/03/21",23.95000076
"436","2017/03/22",23.89999962
"437","2017/03/23",23.95000076
"438","2017/03/24",25.45000076
"439","2017/03/27",25.64999962
"440","2017/03/28",25.70000076
"441","2017/03/29",24.95000076
"442","2017/03/30",25.20000076
"443","2017/03/31",25
"444","2017/04/03",24.75
"445","2017/04/04",24.89999962
"446","2017/04/05",25.25
"447","2017/04/06",25.29999924
"448","2017/04/07",24.85000038
"449","2017/04/10",24.75
"450","2017/04/11",24.75
"451","2017/04/12",24.14999962
"452","2017/04/13",24.70000076
"453","2017/04/17",25.45000076
"454","2017/04/18",25.79999924
"455","2017/04/19",25.75
"456","2017/04/20",26.45000076
"457","2017/04/21",25.75
"458","2017/04/24",25.54999924
"459","2017/04/25",25.45000076
"460","2017/04/26",25.75
"461","2017/04/27",25.10000038
"462","2017/04/28",24.79999924
"463","2017/05/01",25.10000038
"464","2017/05/02",25
"465","2017/05/03",24.79999924
"466","2017/05/04",24.85000038
"467","2017/05/05",23.20000076
"468","2017/05/08",22.85000038
"469","2017/05/09",28.60000038
"470","2017/05/10",30.75
"471","2017/05/11",29.70000076
"472","2017/05/12",29.45000076
"473","2017/05/15",28.79999924
"474","2017/05/16",28.54999924
"475","2017/05/17",27.54999924
"476","2017/05/18",28.54999924
"477","2017/05/19",29.64999962
"478","2017/05/22",28.5
"479","2017/05/23",29.04999924
"480","2017/05/24",29.10000038
"481","2017/05/25",30.5
"482","2017/05/26",30.29999924
"483","2017/05/30",29.60000038
"484","2017/05/31",30.60000038
"485","2017/06/01",31
"486","2017/06/02",32.90000153
