"","date","SQ","PYPL","MA","V","index"
"1680",2022-07-25,-0.159655065053398,-0.355027635892313,0.747501881717803,0.762133716829905,0.994952897601997
"1681",2022-07-26,-0.165086733006554,-0.346191806034829,0.750505873708792,0.771910801520037,1.01113813618745
"1682",2022-07-27,-0.239071967243877,-0.414072284220063,0.723820354951864,0.74138781376866,0.812063917256585
"1683",2022-07-28,-0.145562397816911,-0.275950555347717,0.741947723411042,0.706780833166927,1.02721560341334
"1684",2022-07-29,-0.117378542157228,-0.284195873075777,0.825403108941904,0.721852943934526,1.14568163764343
"1685",2022-08-01,-0.0971233259551563,-0.274330974554929,0.83756303067106,0.734874898815262,1.20098362897624
"1686",2022-08-02,-0.0714405741093571,-0.244372479809188,0.80806135716429,0.722024160841841,1.21427246408759
"1687",2022-08-03,-0.0526583870447292,-0.228697330140366,0.794161714263723,0.634770107354005,1.14757610443263
"1688",2022-08-04,0.0790060151542626,-0.106795080260886,0.840647535778977,0.672722433513625,1.48558090418598
"1689",2022-08-05,0.102879082248544,-0.120605137665498,0.858241424856167,0.758189423624122,1.59870479306333
"1690",2022-08-08,0.0740252328876678,-0.145001803363978,0.871294356444174,0.799367916667307,1.59968570263517
"1691",2022-08-09,0.0413474232856268,-0.131185518166357,0.82277070512308,0.755617341074215,1.48854995131656
"1692",2022-08-10,-0.0227304314548376,-0.157350940774096,0.771706628534653,0.703184973928585,1.2948102302343
"1693",2022-08-11,0.0902846224854743,-0.0922542413182199,0.83384296873219,0.734703618922432,1.56657696882188
"1694",2022-08-12,0.0485290453260527,-0.0893172652859866,0.808424449832164,0.717227791657998,1.48486402153023
"1695",2022-08-15,0.0772480777126467,-0.0601035390474174,0.841917400134375,0.72151025056286,1.58057218936246
"1696",2022-08-16,0.0592269203247073,-0.054086795714567,0.893400291066733,0.808810721348568,1.70735113702544
"1697",2022-08-17,0.0469168918620739,-0.0457234297188762,0.887059721410358,0.821175345478924,1.70942852903248
"1698",2022-08-18,-0.03446582266507,-0.0847652609287803,0.851531385706544,0.776199733702977,1.50850003581567
"1699",2022-08-19,-0.0434149942140394,-0.0783049863604894,0.86993470273907,0.788726051008164,1.5369407731727
