"","date","CRWD","ZS","OKTA","PANW","FTNT","CYBR","index"
"1243",2023-02-22,-0.366749472608659,-0.0912336551711329,-0.821750544994054,0.447797212695552,0.976026550531758,0.345294162252301,0.489384252705765
"1244",2023-02-23,-0.297994417315646,-0.0367913415736115,-0.816200727588265,0.738524369838711,1.00014515187395,0.383565471444291,0.971248506679425
"1245",2023-02-24,-0.300503450141807,-0.0199026154186374,-0.803957881036616,0.752345350895089,1.01799075565737,0.400237590961859,1.04620975091726
"1246",2023-02-27,-0.302616609225956,-0.0529227840334175,-0.820327669804338,0.722893516112575,0.935020886423471,0.288247484379856,0.770294823852191
"1247",2023-02-28,-0.258145006592079,-0.0408243808083635,-0.829290257896757,0.749133905895022,0.971684923778159,0.329329808902993,0.921888993278975
"1248",2023-03-01,-0.257617594608069,-0.0495202585380148,-0.834267741105384,0.747179327579037,0.96300149816206,0.31219226733643,0.880967498826059
"1249",2023-03-02,-0.263947139232325,-0.0836721910307865,-0.832134659942559,0.727219403652853,0.914759047601934,0.316417748342081,0.778642209391197
"1250",2023-03-03,-0.218750945091955,-0.0119617509086604,-0.697160642330377,0.767846662285296,0.972649755824739,0.382156679814697,1.19477975959374
"1251",2023-03-06,-0.18717230545934,-0.199653800632822,-0.63097247365537,0.792157676117833,1.03052916614227,0.469051867843002,1.27394013035558
"1252",2023-03-07,-0.166797233138478,-0.1924638536093,-0.650937979222041,0.740757822419259,1.05319081696773,0.439221523262369,1.22297109667954
"1253",2023-03-08,-0.20177283555561,-0.216812135102763,-0.632826199359376,0.730847807244821,1.00786239213174,0.398358959065468,1.08565798842428
"1254",2023-03-09,-0.14932583817474,-0.253796813171484,-0.625126810071375,0.747319074933316,1.07632773978421,0.388261613955766,1.1836589672557
"1255",2023-03-10,-0.244567841808401,-0.310660290820394,-0.658069920239885,0.692063826744128,0.987603921520823,0.288247484379856,0.754617179776127
"1256",2023-03-13,-0.270410053063348,-0.373950591451919,-0.695448573177152,0.710057432155652,0.930196499994609,0.194586910310358,0.4950316247682
"1257",2023-03-14,-0.248126185781912,-0.318122082233183,-0.710287013705731,0.712707937263922,0.954800428219144,0.177216300914403,0.568189384676644
"1258",2023-03-15,-0.161278817306601,-0.342036420904878,-0.684319802547249,0.692900577385444,1.03294020573362,0.23331857859076,0.771524320951094
"1259",2023-03-16,-0.144073262670948,-0.345834014272133,-0.664346553082806,0.683417762008045,1.00882704099968,0.185197456673208,0.723188429655049
"1260",2023-03-17,-0.0889784569543308,-0.340011293914591,-0.647942776113572,0.76672923673221,1.08066502785353,0.255853035680758,1.02631477328401
"1261",2023-03-20,-0.0942214527857419,-0.373443739109115,-0.655502344277298,0.757651328850905,1.04885181982664,0.208671296641463,0.892006909146853
"1262",2023-03-21,-0.0992028524363941,-0.373823852829608,-0.649654352232536,0.761980455750453,1.06427820386127,0.224398532956066,0.927976135069248
"1263",2023-03-22,-0.0562295379816655,-0.278174935001254,-0.646231241837379,0.832711884762909,1.10860837258695,0.290829717145405,1.25151425967497
"1264",2023-03-23,-0.0923863559972865,-0.330773006225344,-0.67747149106369,0.78237556628888,1.04836959222291,0.235196501813997,0.965310807039462
"1265",2023-03-24,-0.0756131327870866,-0.28398737893661,-0.649369032188165,0.824317419730877,1.14664303049883,0.339659769217203,1.30165067553505
"1266",2023-03-27,-0.114939419342176,-0.29194929128285,-0.678042183258478,0.79159872350276,1.13412915537003,0.289890884534743,1.13068786952403
"1267",2023-03-28,-0.116906958502418,-0.292707628239853,-0.662634673130368,0.805297751874256,1.18175544412978,0.303975685217989,1.21877962134938
"1268",2023-03-29,-0.153003113142737,-0.313189508578365,-0.679326165887613,0.780559084210126,1.1956935742724,0.246463708079674,1.07719757895349
"1269",2023-03-30,-0.140397127022907,-0.307498975481414,-0.650367439315907,0.800544479650534,1.2216295437318,0.235196501813997,1.15910698337611
"1270",2023-03-31,-0.112578340874217,-0.288284051786546,-0.648228090294548,0.819841379965646,1.26958762548833,0.251627938129584,1.29196646062825
"1271",2023-04-03,-0.0399978612088429,-0.230062861589638,-0.621135018591531,0.906258976803955,1.30070263451821,0.387557204356027,1.70332307428818
"1272",2023-04-04,-0.0492908522855781,-0.279691083934568,-0.660922932222541,0.858468092293329,1.29352663745136,0.282613460569707,1.44470332187171
"1273",2023-04-05,-0.0452330346291121,-0.309901483560015,-0.678327475579734,0.861689046633563,1.27725141170782,0.30092378548734,1.40640225005986
"1274",2023-04-06,-0.164037788736156,-0.426585068677509,-0.73026020590524,0.828374347012856,1.23794655002902,0.210314264182929,0.955752097905904
"1275",2023-04-10,-0.163775051820569,-0.395626378404034,-0.710715019486539,0.796909866995276,1.25569015518939,0.179798491331721,0.962282063805241
"1276",2023-04-11,-0.160096282753661,-0.380286836500771,-0.738533608719261,0.806556037098436,1.32221351882708,0.15045489997532,1.00030772792715
"1277",2023-04-12,-0.136984046006572,-0.367489015891012,-0.735395472813889,0.809212706277984,1.32651227051326,0.0222481442169069,0.91810458629668
"1278",2023-04-13,-0.0695872628718419,-0.368629140037409,-0.767767189677487,0.843767645974003,1.33558423893235,0.0255365052589665,0.998904797578582
"1279",2023-04-14,-0.0551820746362641,-0.3493787995545,-0.770760802221237,0.88004131205365,1.39275544431734,0.087299676202817,1.18477475616181
"1280",2023-04-17,-0.0595029922185744,-0.373950591451919,-0.791424147133686,0.902051287628131,1.37753201358132,0.0339920299873338,1.0886976003926
"1281",2023-04-18,-0.038558292226462,-0.372176698791258,-0.742384810430206,0.926183827869719,1.36038574643994,0.0858909038361821,1.21934067669791
"1282",2023-04-19,-0.0515162997592884,-0.397909018529984,-0.741386391595134,0.909906038661864,1.36562707026349,0.00322119957238862,1.08794259861334
"1283",2023-04-20,-0.0980229921730156,-0.405519156380192,-0.754221921540303,0.844327655387315,1.34178823597825,-0.0249716419379673,0.90338017933409
"1284",2023-04-21,-0.136590262056346,-0.436870417911872,-0.761921812111944,0.801662879188773,1.3217356909067,0.00838929845572317,0.796405376471034
"1285",2023-04-24,-0.105627654921319,-0.421380529080203,-0.767767189677487,0.815365709956004,1.316001803146,0.17369491936018,1.01028705878318
"1286",2023-04-25,-0.129896547128136,-0.434711367144847,-0.80780218781565,0.79718948816265,1.2906556172622,0.109839673680442,0.825274677016662
"1287",2023-04-26,-0.238374739935133,-0.540848603374679,-0.854306205369382,0.666268302449187,1.14279291670459,-0.234550476078519,-0.0590188056039406
"1288",2023-04-27,-0.212432214446315,-0.531285090734549,-0.86339363988325,0.683278181097966,1.15386084986073,-0.212414935343071,0.0176131505515139
"1289",2023-04-28,-0.187040775827864,-0.52682342166947,-0.852175557523613,0.701827001687153,1.13749866827993,-0.105829088594508,0.167456826351632
"1290",2023-05-01,-0.266057259601679,-0.569178532039244,-0.8734685607588,0.664734796278005,1.13701722169803,-0.161575349061789,-0.0685276834854763
"1291",2023-05-02,-0.282680838210397,-0.586549830999205,-0.871908109721795,0.676445905195977,1.12546339100936,-0.153811012718321,-0.0930404954443779
"1292",2023-05-03,-0.309749619950724,-0.6087922366385,-0.848623898986889,0.587115617121971,1.05945768600277,-0.230546784926524,-0.351139237377899
