"","date","ZM","DOCU","TEAM","RNG","index"
"20",2018-05-24,-0.716923986220132,-0.780478747170122,-1.50010898136282,-0.666453119944317,-3.66396483469739
"21",2018-05-25,-0.716923986220132,-0.763399974665871,-1.48885796424442,-0.654472450221568,-3.62365437535199
"22",2018-05-29,-0.716923986220132,-0.768727457743758,-1.50010898136282,-0.653034323578694,-3.6387947489054
"23",2018-05-30,-0.716923986220132,-0.743159495138677,-1.50274523595523,-0.646321974888832,-3.60915069220287
"24",2018-05-31,-0.716923986220132,-0.723724773590139,-1.49460196395357,-0.635770115134631,-3.57102083889847
"25",2018-06-01,-0.716923986220132,-0.72597024328365,-1.49035210710183,-0.637688950888326,-3.57093528749393
"26",2018-06-04,-0.716923986220132,-0.722102610861073,-1.48782318874043,-0.633371323921934,-3.56022110974357
"27",2018-06-05,-0.716923986220132,-0.677913004273125,-1.48310635554075,-0.625693623102142,-3.50363696913614
"28",2018-06-06,-0.716923986220132,-0.666104051536308,-1.4571316552666,-0.606489629672943,-3.44664932269599
"29",2018-06-07,-0.716923986220132,-0.631217643468331,-1.44379855002783,-0.617533611501378,-3.40947379121767
"30",2018-06-08,-0.716923986220132,-0.648487430178054,-1.49046704685403,-0.652554976676432,-3.50843343992865
"31",2018-06-11,-0.716923986220132,-0.624150395498944,-1.4847175622952,-0.645842415956937,-3.47163435997122
"32",2018-06-12,-0.716923986220132,-0.603681482699681,-1.48391203301042,-0.647280990023833,-3.45179849195406
"33",2018-06-13,-0.716923986220132,-0.574818989098735,-1.46245417200923,-0.625213662692683,-3.37941081002078
"34",2018-06-14,-0.716923986220132,-0.55009104054266,-1.46326357648884,-0.617533611501378,-3.34781221475301
"35",2018-06-15,-0.716923986220132,-0.55313638820469,-1.4592151213543,-0.617053502361849,-3.34632899814098
"36",2018-06-18,-0.716923986220132,-0.547806717591875,-1.46349477072122,-0.612252236862126,-3.34047771139535
"37",2018-06-19,-0.716923986220132,-0.54844126846282,-1.45782621919568,-0.593519510673253,-3.31671098455188
"38",2018-06-20,-0.716923986220132,-0.548822027707469,-1.47596385652751,-0.625693623102142,-3.36740349355725
"39",2018-06-21,-0.716923986220132,-0.566707148703375,-1.47031089932832,-0.624733766621491,-3.37867580087332
"40",2018-06-22,-0.716923986220132,-0.628315563575185,-1.46961823572391,-0.645362920538224,-3.46022070605745
"41",2018-06-25,-0.716923986220132,-0.628820340843499,-1.4857529874339,-0.67028555983269,-3.50178287433023
"42",2018-06-26,-0.716923986220132,-0.660948366453378,-1.50652480276464,-0.699005963755678,-3.58340311919383
"43",2018-06-27,-0.716923986220132,-0.64244001149716,-1.49655315832324,-0.691351220023852,-3.54726837606438
"44",2018-06-28,-0.716923986220132,-0.701480027759145,-1.52514349820759,-0.711438200417133,-3.654985712604
"45",2018-06-29,-0.716923986220132,-0.685567435994857,-1.50950029285218,-0.684650907665742,-3.59664262273291
"46",2018-07-02,-0.716923986220132,-0.686696169572385,-1.50492176153664,-0.689437098055685,-3.59797901538484
"47",2018-07-03,-0.716923986220132,-0.694342224372844,-1.49540550968194,-0.677948280966324,-3.58462000124124
"48",2018-07-05,-0.716923986220132,-0.698976294039923,-1.4996503237823,-0.683214811966101,-3.59876541600846
"49",2018-07-06,-0.716923986220132,-0.66572692163838,-1.49483152621093,-0.676032882942177,-3.55351531701162
"50",2018-07-09,-0.716923986220132,-0.661577256211118,-1.4737727037658,-0.645362920538224,-3.49763686673528
"51",2018-07-10,-0.716923986220132,-0.65654488952289,-1.47896051424561,-0.650637269264271,-3.5030666592529
